name,pricePerPerson,categorySlug,foodType,isGlobal,ingredients
"{""en"":""Paneer Tikka"",""hi"":""पनीर टिक्का"",""gu"":""પનીર ટિક્કા""}",45,starter,veg,true,[]
"{""en"":""Aloo Tikki"",""hi"":""आलू टिक्की"",""gu"":""આલૂ ટિક્કી""}",15,starter,veg,true,[]
"{""en"":""Sev Puri"",""hi"":""सेव पुरी"",""gu"":""સેવ પૂરી""}",20,starter,veg,true,[]
"{""en"":""Dhokla"",""hi"":""ढोकला"",""gu"":""ઢોકળા""}",25,starter,veg,true,[]
"{""en"":""Veg Spring Roll"",""hi"":""वेज स्प्रिंग रोल"",""gu"":""વેજ સ્પ્રિંગ રોલ""}",30,starter,veg,true,[]
"{""en"":""Veg Cutlet"",""hi"":""वेज कटलेट"",""gu"":""વેજ કટલેટ""}",20,starter,veg,true,[]
"{""en"":""Hara Bhara Kabab"",""hi"":""हरा भरा कबाब"",""gu"":""હરા ભરા કબાબ""}",35,starter,veg,true,[]
"{""en"":""Samosa"",""hi"":""समोसा"",""gu"":""સમોસા""}",15,starter,veg,true,[]
"{""en"":""Kachori"",""hi"":""कचोरी"",""gu"":""કચોરી""}",20,starter,veg,true,[]
"{""en"":""Pani Puri"",""hi"":""पानी पुरी"",""gu"":""પાણી પૂરી""}",25,starter,veg,true,[]
"{""en"":""Dal Makhani"",""hi"":""दाल मखनी"",""gu"":""દાળ મખની""}",40,main-course,veg,true,[]
"{""en"":""Paneer Butter Masala"",""hi"":""पनीर बटर मसाला"",""gu"":""પનીર બટર મસાલા""}",60,main-course,veg,true,[]
"{""en"":""Aloo Matar"",""hi"":""आलू मटर"",""gu"":""આલૂ મટર""}",35,main-course,veg,true,[]
"{""en"":""Chole (Chana Masala)"",""hi"":""छोले"",""gu"":""છોલે""}",35,main-course,veg,true,[]
"{""en"":""Mix Veg"",""hi"":""मिक्स वेज"",""gu"":""મિક્સ વેજ""}",35,main-course,veg,true,[]
"{""en"":""Kadhi Pakoda"",""hi"":""कढ़ी पकोड़ा"",""gu"":""કઢી પકોડા""}",30,main-course,veg,true,[]
"{""en"":""Dal Tadka"",""hi"":""दाल तड़का"",""gu"":""દાળ તળ""}",30,main-course,veg,true,[]
"{""en"":""Shahi Paneer"",""hi"":""शाही पनीर"",""gu"":""શાહી પનીર""}",65,main-course,veg,true,[]
"{""en"":""Matar Paneer"",""hi"":""मटर पनीर"",""gu"":""મટર પનીર""}",55,main-course,veg,true,[]
"{""en"":""Veg Korma"",""hi"":""वेज कोरमा"",""gu"":""વેજ કોરમા""}",45,main-course,veg,true,[]
"{""en"":""Roti (Phulka)"",""hi"":""रोटी"",""gu"":""રોટલી""}",5,bread,veg,true,[]
"{""en"":""Tandoori Roti"",""hi"":""तंदूरी रोटी"",""gu"":""તંદૂરી રોટલી""}",8,bread,veg,true,[]
"{""en"":""Naan"",""hi"":""नान"",""gu"":""નાન""}",12,bread,veg,true,[]
"{""en"":""Puri"",""hi"":""पूरी"",""gu"":""પૂરી""}",8,bread,veg,true,[]
"{""en"":""Bhatura"",""hi"":""भटुरे"",""gu"":""ભટૂરા""}",15,bread,veg,true,[]
"{""en"":""Paratha"",""hi"":""परांठा"",""gu"":""પરાઠા""}",15,bread,veg,true,[]
"{""en"":""Missi Roti"",""hi"":""मिस्सी रोटी"",""gu"":""મિસ્સી રોટલી""}",10,bread,veg,true,[]
"{""en"":""Steamed Rice"",""hi"":""उबला चावल"",""gu"":""ઉકળેલ ભાત""}",20,rice,veg,true,[]
"{""en"":""Jeera Rice"",""hi"":""जीरा राइस"",""gu"":""જીરા ભાત""}",25,rice,veg,true,[]
"{""en"":""Veg Pulao"",""hi"":""वेज पुलाव"",""gu"":""વેજ પુલાવ""}",35,rice,veg,true,[]
"{""en"":""Veg Biryani"",""hi"":""वेज बिरयानी"",""gu"":""વેજ બિરયાની""}",60,rice,veg,true,[]
"{""en"":""Khichdi"",""hi"":""खिचड़ी"",""gu"":""ખીચડી""}",25,rice,veg,true,[]
"{""en"":""Curd Rice"",""hi"":""दही चावल"",""gu"":""દહીં ભાત""}",30,rice,veg,true,[]
